year,geo,gender,Werkgelegenheidscijfer,housing,Leeftijdsverwachting,population,Armoedecijfer,Universitair onderwijs
2013,Malta,Males,79.5,82.6,79.6,20988,10.8,20.7
2013,Malta,Females,72.3,69.1,84,211484,10,31.2
2013,Netherlands,Total,75.3,39.2,81.4,16779575,3.4,29.9
2013,Netherlands,Males,75.9,46.4,79.5,8307339,3.2,25.6
2013,Netherlands,Females,74.8,32,83.2,8472236,3.7,34.3
2013,Austria,Total,74.5,52.7,81.3,8451860,4.8,15
2013,Austria,Males,76.3,62.1,78.6,4123622,4.8,12.4
2013,Austria,Females,72.7,41.8,83.8,4328238,4.8,17.6
2013,Poland,Total,58.1,69.9,77.1,38062535,12.6,29.7
2013,Poland,Males,65.7,77.6,73,18426093,12.6,22
2013,Poland,Females,50,62,81.2,19636442,12.5,37.9
2013,Portugal,Total,52.9,71.6,80.9,10487289,11.5,23.8
2013,Portugal,Males,54.3,76.6,77.6,4995697,11.7,16.2
2013,Portugal,Females,51.5,66.6,84,5491592,11.3,31.4
2013,Romania,Total,53.8,71.8,75.1,20020074,31.9,18.3
2013,Romania,Males,59.9,83.6,71.6,9761480,34.7,15.7
2013,Romania,Females,47.3,59.2,78.7,10258594,28.9,21.1
2013,Slovenia,Total,56.2,74,80.5,2058821,6.4,22.8
2013,Slovenia,Males,60.3,80.8,77.2,1019061,6.8,16.5
2013,Slovenia,Females,51.7,66.8,83.6,1039760,5.9,29.5
2013,Slovakia,Total,51.9,84.2,76.6,5410836,9.2,24.1
2013,Slovakia,Males,59.7,89.8,72.9,2635979,9.5,18.7
2013,Slovakia,Females,43.7,77.9,80.1,2774857,8.9,29.7
2013,Finland,Total,66.9,16.9,81.1,5426674,4,19.8
2013,Finland,Males,68.6,24.4,78,2666622,5.1,13.8
2013,Finland,Females,65,9.1,84.1,2760052,2.8,26.2
2013,Sweden,Total,67.9,22.9,82,9555893,2.6,28.4
2013,Sweden,Males,69.7,27.7,80.2,4765905,2,23.6
2013,Sweden,Females,66,17.6,83.8,4789988,3.3,33.6
2013,United Kingdom,Total,70.7,38.3,81.1,63905297,11.5,35.1
2013,United Kingdom,Males,74.8,46.6,79.2,31424126,11.2,33.1
2013,United Kingdom,Females,66.6,29.9,82.9,32481171,11.8,37.1
2013,Iceland,Total,76.9,37.8,82.1,321857,2.7,18.9
2013,Iceland,Males,77.6,43.6,80.5,161438,2.8,15
2013,Iceland,Females,76.1,31.8,83.7,160419,2.5,23.1
2013,Norway,Total,73,17.2,81.8,5051275,4.3,29.4
2013,Norway,Males,73.8,19,79.8,2535908,4.7,22.2
2013,Norway,Females,72.1,15.2,83.8,2515367,3.8,37
2013,Switzerland,Total,77.7,56.5,82.9,8039060,0.7,25.2
2013,Switzerland,Males,78.7,62.3,80.7,3968524,0.9,24.1
2013,Switzerland,Females,76.6,50.7,85,4070536,0.5,26.5
